2.631e+00	-2.885e-01
2.499e+00	-1.741e-01
2.380e+00	-6.002e-02
2.276e+00	-2.244e-03
2.178e+00	-2.253e-01
1.996e+00	-1.065e+00
1.925e+00	-1.793e+00
1.848e+00	-2.634e+00
1.791e+00	-3.307e+00
1.721e+00	-4.120e+00
1.671e+00	-4.989e+00
2.631e+00	-8.218e-01
2.505e+00	-8.479e-01
2.380e+00	-8.179e-01
2.275e+00	-6.198e-01
2.178e+00	-4.498e-01
2.080e+00	-2.238e-01
1.997e+00	-8.210e-02
1.920e+00	-2.477e-02
1.850e+00	-2.368e-02
1.780e+00	-2.259e-02
1.724e+00	-2.182e-01
1.668e+00	-5.822e-01
1.605e+00	-1.171e+00
1.563e+00	-1.619e+00
1.513e+00	-2.292e+00
1.478e+00	-2.909e+00
1.435e+00	-3.582e+00
1.386e+00	-4.227e+00
1.350e+00	-4.844e+00
1.308e+00	-5.461e+00
1.272e+00	-6.022e+00
1.251e+00	-6.527e+00
2.631e+00	-9.341e-01
2.380e+00	-9.863e-01
2.268e+00	-9.004e-01
2.177e+00	-7.586e-01
2.080e+00	-5.325e-01
1.996e+00	-3.347e-01
1.913e+00	-2.492e-01
1.850e+00	-1.640e-01
1.787e+00	-5.077e-02
1.725e+00	-4.979e-02
1.655e+00	-1.610e-01
1.599e+00	-4.689e-01
1.556e+00	-7.489e-01
1.514e+00	-1.254e+00
1.472e+00	-1.814e+00
1.429e+00	-2.431e+00
1.380e+00	-3.188e+00
1.351e+00	-3.777e+00
1.309e+00	-4.366e+00
1.273e+00	-4.983e+00
1.252e+00	-5.488e+00
1.231e+00	-5.796e+00
1.202e+00	-6.329e+00
