Data stolen from file: kelly temporal amp and cont
The X-axis is logarithmic from 0.1 to 100
The Y-axis is logarithmic from 1 to 1000

 X-value	 Y-value
9.890e-01	1.374e+01
1.986e+00	1.685e+01
3.059e+00	2.807e+01
8.564e+00	1.343e+02
1.664e+01	1.213e+02
2.562e+01	6.352e+01
3.342e+01	2.289e+01
4.816e+01	1.909e+00
