Data stolen from file: kelly temporal amp and cont
The X-axis is logarithmic from 0.1 to 100
The Y-axis is logarithmic from 1 to 1000

 X-value	 Y-value
1.022e+00	1.866e+01
1.986e+00	2.368e+01
4.125e+00	3.685e+01
8.285e+00	3.216e+01
1.194e+01	1.471e+01
1.610e+01	4.784e+00
2.479e+01	1.358e+00
