9.927e-01	2.698e+00
1.986e+00	1.526e+00
9.904e-01	3.701e+00
1.970e+00	4.349e+00
2.993e+00	4.624e+00
4.047e+00	1.903e+00
9.889e-01	4.600e+00
2.007e+00	9.976e+00
2.975e+00	1.019e+01
3.994e+00	1.149e+01
5.817e+00	4.459e+00
7.867e+00	1.835e+00
1.011e+00	6.188e+00
2.001e+00	1.541e+01
2.892e+00	1.704e+01
4.078e+00	1.922e+01
5.910e+00	1.460e+01
8.189e+00	6.374e+00
1.191e+01	3.073e+00
9.582e-01	1.164e+01
1.996e+00	2.114e+01
2.953e+00	2.849e+01
4.055e+00	4.072e+01
5.745e+00	2.440e+01
8.116e+00	2.128e+01
1.148e+01	1.494e+01
1.632e+01	5.680e+00
2.274e+01	1.170e+00
1.003e+00	1.909e+01
2.035e+00	4.393e+01
2.936e+00	6.281e+01
4.034e+00	8.295e+01
5.554e+00	8.474e+01
7.844e+00	7.689e+01
1.164e+01	7.118e+01
1.616e+01	2.178e+01
2.237e+01	1.071e+01
3.256e+01	4.677e+00
