Data stolen from file: kelly  tcsf amplitude
The X-axis is logarithmic from 1 to 100
The Y-axis is logarithmic from 1000 to 0.01

 X-value	 Y-value
1.562e+00	5.220e+01
2.412e+00	4.584e+01
3.951e+00	2.423e+01
5.053e+00	1.551e+01
6.667e+00	9.932e+00
8.533e+00	7.220e+00
1.061e+01	7.209e+00
1.239e+01	6.344e+00
1.589e+01	6.333e+00
1.976e+01	6.955e+00
2.311e+01	7.887e+00
2.705e+01	1.015e+01
3.064e+01	1.047e+01
3.949e+01	2.168e+01
5.274e+01	9.017e+01
6.014e+01	2.486e+02
