Data stolen from file: kelly temporal amp and cont
The X-axis is logarithmic from 0.1 to 100
The Y-axis is logarithmic from 1 to 1000

 X-value	 Y-value
1.057e+00	3.901e+00
1.473e+00	5.671e+00
1.986e+00	6.071e+00
3.059e+00	6.956e+00
3.860e+00	7.704e+00
5.943e+00	7.704e+00
8.014e+00	6.071e+00
1.234e+01	2.114e+00
