Data stolen from file: kelly  tcsf amplitude
The X-axis is logarithmic from 1 to 100
The Y-axis is logarithmic from 1000 to 0.01

 X-value	 Y-value
1.490e+00	4.570e-02
2.528e+00	4.140e-02
3.781e+00	3.103e-02
4.702e+00	3.198e-02
6.621e+00	3.191e-02
8.246e+00	4.106e-02
1.028e+01	6.392e-02
1.243e+01	1.027e-01
1.604e+01	2.414e-01
2.005e+01	5.499e-01
